[zone]|en|fi|pt|ru|zh|ja|ko|de|fr
Act_01_Pregame|River of Inoya|Inoyan Joki|Rio de Inoya|Река Иноя|以诺亚之河|イノヤ川|이노야의 강 (River of Inoya)|Fluss von Inoya|Rivière d'Inoya
Act_01_01|Outskirts of Inoya|Inoyan laidalla|Arredores de Inoya|Окраины Инои|伊诺亚郊区|イノヤの郊外|미노야 변두리 (Outskirts of Inoya)|Außenbezirke von Inoya|Abords d'Inoya
Act_01_02|Fields of Battle|Taistelutanner|Campos de Batalha|Поля сражений|战场之地|バトルのフィールド|전장 (Fields of Battle)|Schlachtfelder|Champs de bataille
Act_01_03|The Pumpkin Patch|Kurpitsapelto|O Canteiro de Abóboras|Тыквенная Грядка|南瓜地|パンプキン・パッチ（かぼちゃ畑）|호박밭 (The Pumpkin Patch)|Der Kürbis Aufnäher|Champs de citrouilles
Act_01_04|Woodhill Plains||Planícies de Woodhill|Вудхиллские равнины|||우드힐 평원 (Woodhill Plains)||Plaines des collines boisées
Act_01_04_02|Village of Lamia||Vilarejo de Lamia||||라미아 마을 (Village of Lamia)||
Act_01_05|King's Garden|Kuninkaan puutarha|Jardim do Rei|Королевский сад|国王的花园|キングのガーデン|왕실 정원 (King's Garden)|Königsgarten|Jardin du roi
Act_01_02_02|Witching River||Rio das Bruxas||||마녀의 강 (Witching River)||
|||||||||
Act_02_01|Crystal Village|Kristallikylä|Vila de Cristal|Хрустальная Деревня|水晶村庄|クリスタル・ビレッジ|크리스탈 마을 (Crystal Village)|Kristalldorf|Village de cristal
Act_02_02|Chilling Lake|Hyytävä järvi|Lago Gelado|Леденящее душу Озеро|寒冷之湖|チリング・レーク（寒冷の湖）|얼어붙은 호수 (Chilling Lake)|Kühlender See|Lac gelé
Act_02_03|Arctic Tundra|Arktinen tundra|Tundra do Ártico|Арктическая Тундра|北极冻土圈|北極ツンドラ|북극 툰드라 (Arctic Tundra)|Arktische Tundra|Toundra arctique
Act_02_04|Snowy Mountains|Lumivuoret|Montanhas Nevadas|Заснеженные Горы|雪山|雪山|설산 (Snowy Mountains)|Verschneite Berge|Montagnes enneigées
Act_02_05|The Glacial Trail|Jäätikön Polku|Trilha Glacial|Ледниковая тропа|冰川足迹|氷河トレイル|빙하 흔적 (The Glacial Trail)|Gletscherweg|La piste glaciaire
|||||||||
Act_03_01|Corrupted Oasis||||||타락한 오아시스 (Corrupted Oasis)||
Act_03_02|Dry Hills|Kuivat kukkulat|Colinas Secas|Сухие Холмы|干燥丘陵|ドライ・ヒルズ|메마른 언덕 (Dry Hills)|Trockene Hügel|Collines arides
Act_03_03|Mos'Arathim Desert|Mos'Arathim aavikko|Deserto de Mos'Arathim|Пустыня Мосаратим|莫斯阿斯玛沙漠|モスアスマ砂漠|모스'아라팀 사막 (Mos'Arathim Desert)|Mos'Arathim-Wüste|Désert de Mos'Arathim
Act_03_04|Pyramid Level 1|Pyramidi taso 1|Pirâmide Nível 1|Пирамида Уровня 1|金字塔1层|ピラミッドの1階|피라미드 1층 (Pyramid Level 1)|Pyramide Stufe 1|Pyramide niveau 1
Act_03_05|Pyramid Level 2|Pyramidi taso 2|Pirâmide Nível 2|Пирамида 2 - го уровня|金字塔2层|ピラミッドの2階|피라미드 2층 (Pyramid Level 2)|Pyramide Stufe 2|Pyramide niveau 2
Act_03_06|Curacan Hollow||||||큐라칸 할로우 (Curacan Hollow)||
|||||||||
Act_04_01|Old Mining Village|Vanha kaivoskylä|Velha Aldeia de Mineração|Старая Шахтерская Деревня|旧矿村|旧い鉱業村|오래된 광산 마을 (Old Mining Village)|Altes Bergbau-Dorf|Ancien village minier
Act_04_02|The Highland Mines|Ylängön kaivos|As Minas das Terras Altas|Горные Рудники|高地矿场|高原鉱区|고지 광산 (The Highland Mines)|Die Highland Minen|Les mines des hautes terres
Act_04_03|Corrupted Cave|Korruptoitunut luola|Caverna Corrompida|Испорченная Пещера|腐化洞穴|壊れた洞窟|타락한 동굴 (Corrupted Cave)|Verderbte Höhle|Grotte corrompue
Act_04_04|The Nightmare|Painajainen|O Pesadelo|Кошмар|梦魇|ナイトメア|나이트메어 (The Nightmare)|Der Alptraum|Le cauchemar
Act_04_05|The Devil's Breach|Paholaisen aukko|A Fenda do Diabo|Дьявольская брешь|恶魔突破口|悪魔の突破口|악마의 골짜기 (The Devil's Breach)|Teufelsbruch|La brèche du diable
|||||||||
Act_05_01|Mt. Fuji|Fuji vuori|Mt. Fuji|Гора Фудзи|富士山|富士山|후지산 (Mt. Fuji)|Fuji Berg|Mont Fuji
Act_05_02|Misty Swamp|Sumuinen suo|Pântano Enevoado|Туманное Болото|迷雾沼泽|ミスティ・スワンプ|안개 낀 늪 (Misty Swamp)|Nebliger Sumpf|Marais brumeux
Act_05_03|Fuji Coast|Fujin rannikko|Litoral de Fuji|Побережье Фудзи|富士海岸|富士海岸|후지 해변 (Fuji Coast)|Fuji-Küste|Côte de Fuji
Act_05_04|Sea of Karponia|Karponian meri|Mar de Karponia|Карпонийское море|卡普尼亚之海|カルポニアの海|잉오니아의 바다 (Sea of Karponia)|Karponisches Meer|Mer de Karponia
Act_05_05|Temple of Zamjo|Zamjon temppeli|Templo de Zamjo|Храм Замджо|山庙|ザンジョーの神殿|잠조의 사원 (Temple of Zamjo)|Tempel von Zamjo|Temple de Zamjo
|||||||||
Act_06_01|Highland Graveyard|Ylängön hautuumaa|Cemitério das Terras Altas|Высокогорное кладбище|墓园高地|高原墓地|고원 묘지 (Highland Graveyard)|Highland-Friedhof|Cimetière des hautes terres
Act_06_02|The Cathedral|Katedraali|A Catedral|Кафедральный собор|大教堂|大聖堂|성당 (The Cathedral)|Die Kathedrale|La cathédrale
Act_06_03|Prison Dungeon|Vankityrmä|Calabouço da Prisão|Тюремное Подземелье|监狱地牢|プリズン・ダンジョン|지하 감옥 (Prison Dungeon)|Gefängnis-Verlies|Prison du donjon
Act_06_04|Steam Train|Höyryjuna|Trem a Vapor|Паровоз|蒸汽火车|蒸気機関車|증기 기관차 (Steam Train)|Dampfzug|Train à vapeur
Act_06_05|The Depths of Hell|Helvetin syöverit|As Profundezas do Inferno|Глубины ада|地狱深处|地獄の奥底|지옥의 끝 (The Depths of Hell)|Die Tiefen der Hölle|Les profondeurs de l'enfer
|||||||||
Act_07_01|Deep Space|Syvä Avaruus|Espaço Profundo|Глубокий Космос|深空|ディープスペース|깊은 공간 (Deep Space)|Tiefer Raum|Espace lointain
Act_07_02|Event Horizon|Tapahtumahorisontti|Horizonte de Eventos|Горизонт Событий|视界|イベントホライズン|사상의 지평선 (Event Horizon)|Event-Horizont|Horizon des événements
Act_07_03|The Black Hole|Musta Aukko|O Buraco Negro|Черная Дыра|黑洞|ブラックホール|블랙홀 (The Black Hole)|Das schwarze Loch|Le trou noir
Act_07_04|Parallel Dimension|Vastakkainen Todellisuus|Dimensão Paralela|Параллельное Измерение|平行维度|パラレルディメンション|평행 차원 (Parallel Dimension)|Paralleldimension|Dimension parallèle
Act_07_05|Subconscious Mind|Alitajunta|Mente Subconsciente|Подсознательный Разум|潜意识思想|潜在意識|잠재 의식 (Subconscious Mind)|Unterbewusstsein|Le subconscient
|||||||||
Act_08_01|Forest of the Slain|Surmattujen metsä|Floresta dos Mortos|Лес убитых|被杀死的森林|殺された森|학살의 숲 (Forest of the Slain)|Wald der Erschlagenen|Forêt des défunts
Act_08_02|Flooded Plains|Tulinut tasanko|Planícies Inundadas|Затопленные Равнины|泛滥的平原|氾濫した平原|침수 평야 (Flooded Plains)|Überflutete Ebenen|Plaines inondées
Act_08_03|Forgotten Caves|Unohdetut luolat|Cavernas Esquecidas|Забытые Пещеры|被遗忘的洞穴|忘れられた洞窟|잊혀진 동굴 (Forgotten Caves)|Vergessene Höhlen|Grottes oubliées
Act_08_04|Camp of Souls|Sielujen leiri|Acampamento das Almas|Лагерь душ|灵魂营|魂のキャンプ|영혼의 캠프 (Camp of Souls)|Lager der Seelen|Camp des âmes
Act_08_05|Helheim|Helheim|Helheim|Helheim|海尔海姆|ヘルヘイム|헬헤임 (Helheim)|Helheim|Helheim
|||||||||
Act_08_Valkyrie|Plain of Ida|Idan tasanko|Planícies de Ida|Равнина Иды|Plain of Ida|Plain of Ida|이다 평원 (Plain of Ida)|Plain of Ida|Plaine d'Ida
Act_08_Valhalla|Gates of Valhalla|Valhallan portit|Portões de Valhalla|Врата Валгаллы|瓦尔哈拉之门|ヴァルハラの門|발할라의 문 (Gates of Valhalla)|Tore von Walhalla|Portes du Valhalla
